Investigator,Maddy,Time (s),Electrode,Size (spikes),Duration (s)
,,00019.769440,A3_21,25,0.11528
,,00019.762640,A3_31,17,0.11616
,,00019.722400,A3_11,22,0.15864
,,00019.724880,A3_12,29,0.15296
,,00019.727280,A3_13,50,0.16664
,,00019.747440,A3_23,11,0.13104
,,00019.725200,A3_14,48,0.15736
,,00019.734560,A3_24,48,0.15184
,,00019.733440,A3_34,27,0.15064
,,00019.746080,A3_32,26,0.13656
,,00020.016080,D1_24,19,0.12336
,,00019.736640,A3_44,52,0.16496
,,00019.732320,A3_43,51,0.17088
,,00019.993280,B4_33,13,0.03912
,,00019.989520,B4_34,12,0.03376
,,00019.991120,B4_24,18,0.07112
,,00019.993440,B4_42,11,0.0572
,,00019.989840,B4_43,14,0.04064
,,00019.990080,B4_44,9,0.03296
,,00019.992880,B4_21,9,0.0664
,,00020.052880,C4_12,6,0.08928
,,00020.079040,D1_33,9,0.11616
,,00020.342400,B3_43,5,0.02648
,,00020.037680,C4_11,28,0.16664
,,00020.051680,C4_21,23,0.16608
,,00020.340080,C4_21,7,0.0224
,,00020.052720,C4_31,13,0.15496
,,00020.105040,D1_21,45,0.34096
,,00020.098320,D1_31,43,0.33824
,,00020.284240,D1_24,45,0.36536
,,00020.081680,D1_42,55,0.36064
,,00020.403120,B6_44,7,0.01976
,,00020.788480,A2_21,14,0.04568
,,00020.791120,A2_11,12,0.03064
,,00020.798480,A2_13,6,0.02504
,,00020.795600,A2_14,16,0.05544
,,00020.788640,A2_33,20,0.05816
,,00020.798480,A2_24,7,0.0336
,,00020.783360,A2_34,23,0.0704
,,00020.788880,A2_32,12,0.03848
,,00020.793360,A2_43,5,0.01704
,,00020.793040,A2_44,6,0.02416
,,00020.543680,C4_21,18,0.11864
,,00020.797520,D1_21,22,0.17344
,,00020.795840,D1_31,21,0.17184
,,00020.804160,D1_33,9,0.14488
,,00020.792240,D1_42,33,0.18496
,,00020.945600,D1_24,35,0.29272
,,00021.345600,A6_21,8,0.02096
,,00021.343600,A6_22,9,0.02016
,,00022.579440,A2_11,5,0.0116
,,00022.756160,B4_33,6,0.01664
,,00022.757920,B4_24,8,0.01912
,,00022.759840,B4_42,6,0.01296
,,00022.755040,B4_43,8,0.02192
,,00023.649760,A2_11,6,0.0124
,,00024.270240,B6_11,7,0.0196
,,00024.275680,B6_33,6,0.10936
,,00024.272720,B6_23,5,0.01136
,,00025.033040,A1_41,16,0.06848
,,00025.042080,A1_31,17,0.05528
,,00024.999600,A1_11,11,0.0808
,,00025.052960,A1_12,5,0.042
,,00025.048640,A1_13,20,0.05144
,,00025.058400,A1_22,5,0.03
,,00025.044320,A1_23,22,0.06608
,,00025.055040,A1_33,13,0.04576
,,00025.057920,A1_43,6,0.04136
,,00025.206560,B5_13,6,0.01832
,,00025.215840,B5_21,7,0.0188
,,00025.243360,A1_41,49,0.39144
,,00025.236880,A1_31,30,0.37848
,,00025.236400,A1_11,20,0.376
,,00025.348400,A1_12,8,0.26096
,,00025.345840,A1_22,12,0.26472
,,00025.223440,A1_33,25,0.3932
,,00025.235920,A1_43,17,0.37616
,,00025.532800,B6_11,5,0.01144
,,00025.735200,A1_41,7,0.0156
,,00025.002640,A1_21,125,0.7424
,,00025.225680,A1_13,71,0.51528
,,00025.223200,A1_23,73,0.52184
,,00025.049520,A1_34,123,0.72344
,,00025.748400,A6_12,15,0.06336
,,00025.748880,A6_11,14,0.06488
,,00025.754080,A6_42,5,0.04768
,,00025.779920,A6_32,6,0.02112
,,00025.748880,A6_21,23,0.06776
,,00025.781600,A6_31,11,0.0316
,,00025.747120,A6_22,25,0.07688
,,00026.370400,A2_21,6,0.01896
,,00026.371280,A2_11,5,0.01152
,,00026.367120,A2_33,7,0.01592
,,00026.369200,A2_32,5,0.0128
,,00026.367440,A2_34,9,0.05792
,,00026.299040,A3_41,10,0.15056
,,00026.305120,A3_21,26,0.14728
,,00026.288800,A3_31,20,0.1596
,,00026.253680,A3_11,24,0.19544
,,00026.260480,A3_12,35,0.1984
,,00026.259600,A3_13,51,0.20352
,,00026.279440,A3_23,10,0.16712
,,00026.258960,A3_14,48,0.2036
,,00026.266160,A3_24,48,0.19616
,,00026.266000,A3_34,30,0.18504
,,00026.290480,A3_32,28,0.16272
,,00026.268000,A3_44,50,0.18848
,,00026.267840,A3_43,51,0.1896
,,00026.766000,B6_44,9,0.02912
,,00027.555680,B4_33,5,0.01216
,,00027.554560,B4_43,6,0.01224
,,00027.831760,B1_33,7,0.01592
,,00028.500240,A5_14,9,0.12896
,,00028.511520,A5_13,17,0.10752
,,00028.503440,A5_21,15,0.0984
,,00028.507200,A5_41,10,0.1044
,,00028.740160,C1_11,8,0.12632
,,00028.838320,C1_13,12,0.04944
,,00028.753920,C1_23,12,0.1028
,,00028.754720,C1_33,13,0.09432
,,00028.747040,B6_14,25,0.0884
,,00028.771040,B6_12,5,0.0332
,,00028.773360,B6_11,8,0.03304
,,00028.745840,B6_33,20,0.07712
,,00028.747440,B6_23,20,0.0716
,,00028.746080,B6_34,18,0.08224
,,00028.796000,B6_43,5,0.01032
,,00028.744000,B6_44,29,0.13976
,,00028.772640,C1_43,18,0.13408
,,00029.468320,A2_21,14,0.04432
,,00029.472640,A2_11,9,0.02968
,,00029.481360,A2_13,6,0.03144
,,00029.476560,A2_14,7,0.02336
,,00029.470080,A2_33,13,0.04088
,,00029.471840,A2_34,13,0.04976
,,00029.470000,A2_32,11,0.04
,,00029.475120,A2_44,5,0.01592
,,00030.275280,A4_41,5,0.06448
,,00030.297680,A4_12,8,0.16192
,,00030.278480,A4_31,10,0.1628
,,00030.287520,A4_22,7,0.24752
,,00030.286320,A4_21,10,0.40536
,,00030.642240,A4_31,6,0.20496
,,00031.048880,A2_21,31,0.08536
,,00031.046000,A2_11,34,0.08768
,,00031.050240,A2_12,13,0.07776
,,00031.048080,A2_13,25,0.08104
,,00031.049920,A2_14,25,0.07664
,,00031.049040,A2_33,32,0.08368
,,00031.054160,A2_24,10,0.05344
,,00031.051520,A2_32,31,0.0812
,,00031.053360,A2_43,22,0.07096
,,00031.056160,A2_44,23,0.07368
,,00031.053120,A2_42,14,0.06896
,,00030.278560,A4_32,64,0.69208
,,00030.956640,B4_43,5,0.07056
,,00031.099200,A4_31,5,0.11264
,,00031.050400,A2_34,47,0.35536
,,00031.101440,A4_32,29,0.37584
,,00031.330480,A4_31,5,0.146
,,00031.639360,A4_32,15,0.15352
,,00031.635280,A4_31,5,0.1476
,,00032.298560,B3_31,27,0.09576
,,00032.302400,B3_11,7,0.04576
,,00032.300080,B3_12,18,0.08152
,,00032.299360,B3_22,6,0.02056
,,00032.294160,B3_23,8,0.02232
,,00032.292240,B3_24,7,0.0156
,,00032.293200,B3_34,14,0.09016
,,00032.296640,B3_32,28,0.08496
,,00032.289680,B3_44,13,0.06512
,,00032.293600,B3_42,30,0.08512
